"State Name","county Name","State Code","County Code","Date","AQI","Category","Defining Parameter","Defining Site","Number of Sites Reporting"
"Alabama","Baldwin","01","003","2020-01-01",48,"Good","PM2.5","01-003-0010",1
"Alabama","Baldwin","01","003","2020-01-04",13,"Good","PM2.5","01-003-0010",1
"Alabama","Baldwin","01","003","2020-01-07",14,"Good","PM2.5","01-003-0010",1
"Alabama","Baldwin","01","003","2020-01-10",39,"Good","PM2.5","01-003-0010",1
"Alabama","Baldwin","01","003","2020-01-13",29,"Good","PM2.5","01-003-0010",1
"Alabama","Baldwin","01","003","2020-01-16",15,"Good","PM2.5","01-003-0010",1
"Alabama","Baldwin","01","003","2020-01-19",10,"Good","PM2.5","01-003-0010",1
"Alabama","Baldwin","01","003","2020-01-22",38,"Good","PM2.5","01-003-0010",1
"Alabama","Baldwin","01","003","2020-01-25",17,"Good","PM2.5","01-003-0010",1
"Alabama","Baldwin","01","003","2020-01-28",20,"Good","PM2.5","01-003-0010",1
"Alabama","Baldwin","01","003","2020-01-31",30,"Good","PM2.5","01-003-0010",1
"Alabama","Clay","01","027","2020-01-04",12,"Good","PM2.5","01-027-0001",1
"Alabama","Clay","01","027","2020-01-07",16,"Good","PM2.5","01-027-0001",1
"Alabama","Clay","01","027","2020-01-10",31,"Good","PM2.5","01-027-0001",1
"Alabama","Clay","01","027","2020-01-16",13,"Good","PM2.5","01-027-0001",1
"Alabama","Clay","01","027","2020-01-28",15,"Good","PM2.5","01-027-0001",1
"Alabama","DeKalb","01","049","2020-01-01",38,"Good","Ozone","01-049-9991",2
"Alabama","DeKalb","01","049","2020-01-02",28,"Good","Ozone","01-049-9991",1
"Alabama","DeKalb","01","049","2020-01-03",35,"Good","Ozone","01-049-9991",1
"Alabama","DeKalb","01","049","2020-01-04",31,"Good","Ozone","01-049-9991",2
"Alabama","DeKalb","01","049","2020-01-05",32,"Good","Ozone","01-049-9991",1
"Alabama","DeKalb","01","049","2020-01-06",35,"Good","Ozone","01-049-9991",1
"Alabama","DeKalb","01","049","2020-01-07",37,"Good","Ozone","01-049-9991",2
"Alabama","DeKalb","01","049","2020-01-08",41,"Good","Ozone","01-049-9991",1
"Alabama","DeKalb","01","049","2020-01-09",41,"Good","Ozone","01-049-9991",1
"Alabama","DeKalb","01","049","2020-01-10",31,"Good","Ozone","01-049-9991",1
"Alabama","DeKalb","01","049","2020-01-12",31,"Good","Ozone","01-049-9991",1
"Alabama","DeKalb","01","049","2020-01-13",26,"Good","Ozone","01-049-9991",1
