"id","day","previous_deaths","new_deaths","previous_cases","new_cases"
"13",1,0,0,0,0
"17",1,0,0,0,0
"21",1,0,0,0,0
"18",1,0,0,0,0
"15",1,0,0,0,0
"08",1,0,0,18,18
"06",1,0,0,0,0
"12",1,0,0,3,2
"07",1,0,0,0,0
"03",1,6,6,172,166
"11",1,0,0,0,0
"14",1,0,0,0,0
"01",1,0,0,3,3
"16",1,0,0,0,0
"20",1,0,0,0,0
"19",1,0,0,0,0
"09",1,0,0,0,0
"22",1,0,0,0,0
"10",1,0,0,0,0
"02",1,0,0,0,0
"05",1,1,1,33,32
"13",2,0,0,0,0
"17",2,0,0,0,0
"21",2,0,0,1,1
"18",2,0,0,0,0
"15",2,0,0,0,0
"08",2,0,0,26,8
"06",2,0,0,0,0
"12",2,0,0,3,0
"07",2,0,0,1,1
"03",2,15,9,240,68
"11",2,0,0,0,0
"14",2,0,0,0,0
"01",2,0,0,3,0
"16",2,0,0,0,0
"20",2,0,0,0,0
"19",2,0,0,3,3
"09",2,0,0,2,2
"22",2,0,0,0,0
"10",2,0,0,0,0
"02",2,0,0,0,0
"05",2,2,1,43,10
"13",3,0,0,0,0
"17",3,0,0,0,0
"21",3,0,0,1,0
"18",3,0,0,0,0
"15",3,0,0,0,0
"08",3,1,1,47,21
"06",3,0,0,0,0
"12",3,0,0,3,0
"07",3,0,0,11,10
"03",3,24,9,258,18
"11",3,0,0,1,1
"14",3,0,0,0,0
"01",3,0,0,3,0
"16",3,0,0,0,0
"20",3,0,0,0,0
"19",3,0,0,3,0
"09",3,0,0,2,0
"22",3,0,0,0,0
"10",3,0,0,0,0
"02",3,0,0,0,0
"05",3,4,2,71,28
"13",4,0,0,1,1
"17",4,0,0,0,0
"21",4,0,0,1,0
"18",4,0,0,0,0
"15",4,0,0,3,3
"08",4,2,1,97,50
"06",4,0,0,0,0
"12",4,0,0,3,0
"07",4,0,0,19,8
"03",4,38,14,403,145
"11",4,0,0,3,2
"14",4,0,0,0,0
"01",4,0,0,2,-1
"16",4,0,0,1,1
"20",4,0,0,0,0
"19",4,0,0,4,1
"09",4,0,0,2,0
"22",4,0,0,0,0
"10",4,0,0,0,0
"02",4,0,0,0,0
"05",4,6,2,111,40
"13",5,0,0,1,0
"17",5,0,0,0,0
"21",5,0,0,1,0
"18",5,0,0,1,1
"15",5,0,0,4,1
"08",5,4,2,145,48
"06",5,0,0,0,0
"12",5,0,0,3,0
"07",5,0,0,19,0
"03",5,55,17,531,128
"11",5,0,0,6,3
"14",5,0,0,0,0
"01",5,0,0,11,9
"16",5,0,0,3,2
"20",5,0,0,0,0
"19",5,0,0,4,0
"09",5,0,0,8,6
"22",5,0,0,0,0
"10",5,0,0,0,0
"02",5,0,0,0,0
"05",5,8,2,151,40
"13",6,0,0,2,1
"17",6,0,0,0,0
"21",6,0,0,1,0
"18",6,0,0,1,0
