"id","region","area","NO2","PM2.5","PM10","incomePerCapita","healthExpenditure","density"
"13","Abruzzo",10831.4964,24.2552901023891,14.3657407407407,23.4864864864865,16.43,1087,121.0894554
"13","Abruzzo",10831.4964,27.8608823529412,16.5714285714286,27.0529411764706,16.43,1087,121.0894554
"13","Abruzzo",10831.4964,13.0202777777778,14.6416666666667,23.9416666666667,16.43,1087,121.0894554
"13","Abruzzo",10831.4964,29.437,17.1888888888889,26.4761904761905,16.43,1087,121.0894554
"17","Basilicata",10073.1105,NA,NA,NA,14.04,1166,55.87837044
"18","Calabria",15221.6149,24.2558479532164,10.2401673640167,22.1477653631285,12.74,1006,127.9188189
"18","Calabria",15221.6149,20.7279538904899,12.9547826086957,20.5154761904762,12.74,1006,127.9188189
"18","Calabria",15221.6149,21.7537572254335,12.3009852216749,22.664265129683,12.74,1006,127.9188189
"18","Calabria",15221.6149,14.4675373134328,10.086511627907,18.811214953271,12.74,1006,127.9188189
"15","Campania",13670.598,30.5648050579557,14.6288262910798,27.798985801217,13.46,923,424.3919688
"15","Campania",13670.598,29.4234661354582,14.1105200945626,26.7214765100671,13.46,923,424.3919688
"15","Campania",13670.598,29.5795166858458,12.0344200626959,27.9893893893894,13.46,923,424.3919688
"15","Campania",13670.598,27.5497635312664,11.7444616576297,25.5415702982349,13.46,923,424.3919688
"08","Emilia-Romagna",22444.542,29.9075428571429,14.3187165775401,22.6994906621392,22.94,1209,198.6887057
"08","Emilia-Romagna",22444.542,30.0846769582619,19.0842992623815,28.8595793064241,22.94,1209,198.6887057
"08","Emilia-Romagna",22444.542,31.4381384790011,15.8850828729282,25.7373853211009,22.94,1209,198.6887057
"08","Emilia-Romagna",22444.542,27.9943597560976,NA,28.0765217391304,22.94,1209,198.6887057
"06","Friuli Venezia Giulia",7932.4822,23.3331154684096,13.7079545454545,20.2678879310345,21.03,1335,153.1954273
"06","Friuli Venezia Giulia",7932.4822,24.3260869565217,17.1109090909091,24.1280777537797,21.03,1335,153.1954273
"06","Friuli Venezia Giulia",7932.4822,23.7218617771509,14.6948328267477,19.8530434782609,21.03,1335,153.1954273
"06","Friuli Venezia Giulia",7932.4822,12.2188811188811,NA,17.7511904761905,21.03,1335,153.1954273
"12","Lazio",17231.7227,38.5056058890147,12.4786324786325,24.69818799547,19.77,1026,341.177844
"12","Lazio",17231.7227,42.1896096440873,13.9849785407725,25.0564424173318,19.77,1026,341.177844
"12","Lazio",17231.7227,37.3063890473474,13.4635691657867,25.5272108843537,19.77,1026,341.177844
"12","Lazio",17231.7227,36.875313059034,12.0416666666667,24.8136419001218,19.77,1026,341.177844
"07","Liguria",5416.152,39.3337730870712,14.0575692963753,19.4189090909091,22.04,1280,286.2992028
"07","Liguria",5416.152,36.5933159722222,16.112962962963,23.1450507614213,22.04,1280,286.2992028
"07","Liguria",5416.152,37.6312983662941,13.0610878661088,21.3742749054224,22.04,1280,286.2992028
"03","Lombardia",23863.0973,41.694355495251,20.1668720054757,27.6354055166735,22.94,972,421.5954817
"03","Lombardia",23863.0973,43.7167694566813,25.6658875552748,34.5700738916256,22.94,972,421.5954817
"03","Lombardia",23863.0973,40.0206321334504,22.1672544080605,30.682619047619,22.94,972,421.5954817
"03","Lombardia",23863.0973,36.7948281846581,20.7687664041995,29.0483408071749,22.94,972,421.5954817
"11","Marche",9401.1839,19.9479069767442,11.8204301075269,25.675117370892,19.16,1165,162.2424384
"11","Marche",9401.1839,20.0741463414634,15.7443396226415,28.8829596412556,19.16,1165,162.2424384
"11","Marche",9401.1839,15.6071038251366,11.344019138756,20.974358974359,19.16,1165,162.2424384
"11","Marche",9401.1839,24.7565517241379,14.0181818181818,29.9333333333333,19.16,1165,162.2424384
"14","Molise",4460.4373,26.0626436781609,NA,11.8691588785047,14.68,1063,68.51727296
"14","Molise",4460.4373,15.165,NA,19.0393258426966,14.68,1063,68.51727296
"14","Molise",4460.4373,33.4123919308357,NA,16.4356435643564,14.68,1063,68.51727296
"14","Molise",4460.4373,18.7833333333333,NA,10.1222222222222,14.68,1063,68.51727296
"21","P.A. Bolzano",7397.8574,33.9061111111111,NA,14.7330578512397,26.03,1646,71.80160028
"21","P.A. Bolzano",7397.8574,35.8013966480447,NA,18.7220338983051,26.03,1646,71.80160028
"21","P.A. Bolzano",7397.8574,35.3568452380952,NA,18.1808333333333,26.03,1646,71.80160028
"22","P.A. Trento",6206.8637,39.096694214876,13.1596638655462,19.2851239669421,21.92,1259,87.17736141
"22","P.A. Trento",6206.8637,41.3852320675106,16.9380530973451,24.2226890756303,21.92,1259,87.17736141
"22","P.A. Trento",6206.8637,39.4991666666667,13.9130434782609,21.5083333333333,21.92,1259,87.17736141
"22","P.A. Trento",6206.8637,36.5867403314917,10.96,16.660773480663,21.92,1259,87.17736141
"01","Piemonte",25386.6971,38.5178435114504,16.1835793357934,24.0342130987292,21.02,1138,171.6019214
"01","Piemonte",25386.6971,42.9389210019268,21.9794736842105,31.0571428571429,21.02,1138,171.6019214
"01","Piemonte",25386.6971,37.6609553478712,19.638418079096,28.2038152610442,21.02,1138,171.6019214
"01","Piemonte",25386.6971,35.6470219435737,NA,NA,21.02,1138,171.6019214
