AirPollutant,AirQualityLevel,FilterStation,Country,TypeOfMeasurementStation,City,datebegin,validity_notation
NO2,35.5,1,Italy,background,Siracusa,16/03/2016,1
NO2,36.5,1,Italy,background,Siracusa,05/02/2018,1
NO2,35.4,1,Italy,background,Siracusa,31/03/2017,1
NO2,25.3,1,Italy,background,Siracusa,16/04/2018,1
NO2,69.8,1,Italy,background,Siracusa,01/02/2016,1
NO2,57.8,1,Italy,background,Siracusa,02/02/2016,1
NO2,42.2,1,Italy,background,Siracusa,03/02/2016,1
NO2,24.4,1,Italy,background,Siracusa,04/02/2016,1
NO2,24.2,1,Italy,background,Siracusa,05/02/2016,1
NO2,36.5,1,Italy,background,Siracusa,06/02/2016,1
NO2,24.7,1,Italy,background,Siracusa,07/02/2016,1
NO2,43.6,1,Italy,background,Siracusa,08/02/2016,1
NO2,52.8,1,Italy,background,Siracusa,09/02/2016,1
NO2,26.1,1,Italy,background,Siracusa,10/02/2016,1
NO2,26.9,1,Italy,background,Siracusa,11/02/2016,1
NO2,23.6,1,Italy,background,Siracusa,12/02/2016,1
NO2,18.6,1,Italy,background,Siracusa,13/02/2016,1
NO2,32.0,1,Italy,background,Siracusa,14/02/2016,1
NO2,44.5,1,Italy,background,Siracusa,15/02/2016,1
NO2,41.6,1,Italy,background,Siracusa,16/02/2016,1
NO2,12.0,1,Italy,background,Siracusa,17/02/2016,1
NO2,9.0,1,Italy,background,Siracusa,18/02/2016,1
NO2,53.1,1,Italy,background,Siracusa,19/02/2016,1
NO2,28.1,1,Italy,background,Siracusa,20/02/2016,1
NO2,46.7,1,Italy,background,Siracusa,21/02/2016,1
NO2,59.4,1,Italy,background,Siracusa,22/02/2016,1
NO2,55.5,1,Italy,background,Siracusa,23/02/2016,1
NO2,34.1,1,Italy,background,Siracusa,24/02/2016,1
NO2,55.4,1,Italy,background,Siracusa,25/02/2016,1
NO2,28.6,1,Italy,background,Siracusa,26/02/2016,1
NO2,35.5,1,Italy,background,Siracusa,27/02/2016,1
NO2,17.7,1,Italy,background,Siracusa,28/02/2016,1
NO2,43.9,1,Italy,background,Siracusa,29/02/2016,1
NO2,32.4,1,Italy,background,Siracusa,01/03/2016,1
NO2,38.5,1,Italy,background,Siracusa,02/03/2016,1
NO2,21.0,1,Italy,background,Siracusa,03/03/2016,1
NO2,23.0,1,Italy,background,Siracusa,04/03/2016,1
NO2,36.0,1,Italy,background,Siracusa,05/03/2016,1
NO2,23.7,1,Italy,background,Siracusa,06/03/2016,1
NO2,31.2,1,Italy,background,Siracusa,07/03/2016,1
NO2,40.2,1,Italy,background,Siracusa,08/03/2016,1
NO2,37.0,1,Italy,background,Siracusa,09/03/2016,1
NO2,42.2,1,Italy,background,Siracusa,10/03/2016,1
NO2,48.9,1,Italy,background,Siracusa,11/03/2016,1
NO2,35.8,1,Italy,background,Siracusa,12/03/2016,1
NO2,22.3,1,Italy,background,Siracusa,13/03/2016,1
NO2,46.7,1,Italy,background,Siracusa,14/03/2016,1
NO2,49.5,1,Italy,background,Siracusa,15/03/2016,1
NO2,42.1,1,Italy,background,Siracusa,18/03/2016,1
NO2,43.8,1,Italy,background,Siracusa,19/03/2016,1
NO2,26.8,1,Italy,background,Siracusa,20/03/2016,1
