city,region
Ancona,Marche
Asti,Piemonte
Avellino,Campania
Bari,Puglia
Barletta,Puglia
Benevento,Campania
Bergamo,Lombardia
Biella,Piemonte
Bologna,Emilia-Romagna
Bolzano,P.A. Bolzano
Brescia,Lombardia
Busto Arsizio,Lombardia
Cagliari,Sardegna
Campobasso,Molise
Carrara,Toscana
Caserta,Campania
Catania,Sicilia
Catanzaro,Calabria
Como,Lombardia
Cosenza,Calabria
Cremona,Lombardia
Ferrara,Emilia-Romagna
Firenze,Toscana
Foggia,Puglia
Forlì,Emilia-Romagna
Genova,Liguria
La Spezia,Liguria
Latina,Lazio
Lecce,Puglia
Lecco,Lombardia
Livorno,Toscana
Massa,Toscana
Messina,Sicilia
Milano,Lombardia
Modena,Emilia-Romagna
Napoli,Campania
Novara,Piemonte
Padova,Veneto
Palermo,Sicilia
Parma,Emilia-Romagna
Pavia,Lombardia
Perugia,Umbria
Pesaro,Marche
Pescara,Abruzzo
Piacenza,Emilia-Romagna
Pisa,Toscana
Pordenone,Friuli Venezia Giulia
Prato,Toscana
Ravenna,Emilia-Romagna
Reggio di Calabria,Calabria
Reggio nell'Emilia,Emilia-Romagna
Rimini,Emilia-Romagna
Roma,Lazio
Salerno,Campania
Sassari,Sardegna
Savona,Liguria
Siracusa,Sicilia
Taranto,Puglia
Terni,Umbria
Torino,Piemonte
Trento,P.A. Trento
Treviso,Veneto
Trieste,Friuli Venezia Giulia
Udine,Friuli Venezia Giulia
Varese,Lombardia
Venezia,Veneto
Verona,Veneto
Viareggio,Toscana
Vicenza,Veneto
Vigevano,Lombardia
