region,ha,km2,population,density,healthExpenditure16,IncomeAvail18
    Abruzzo,1083149.64,10831.4964,1311580,121.0894554,"1,087",16.43
    Basilicata,1007311.05,10073.1105,562869,55.87837044,"1,166",14.04
P.A. Bolzano ,739785.74,7397.8574,531178,71.80160028,"1,646",26.03
    Calabria,1522161.49,15221.6149,1947131,127.9188189,"1,006",12.74
    Campania,1367059.8,13670.598,5801692,424.3919688,923,13.46
    Emilia-Romagna,2244454.2,22444.542,4459477,198.6887057,"1,209",22.94
Friuli Venezia Giulia,793248.22,7932.4822,1215220,153.1954273,"1,335",21.03
    Lazio,1723172.27,17231.7227,5879082,341.177844,"1,026",19.77
    Liguria,541615.2,5416.152,1550640,286.2992028,"1,280",22.04
    Lombardia,2386309.73,23863.0973,10060574,421.5954817,972,22.94
    Marche,940118.39,9401.1839,1525271,162.2424384,"1,165",19.16
    Molise,446043.73,4460.4373,305617,68.51727296,"1,063",14.68
    Piemonte,2538669.71,25386.6971,4356406,171.6019214,"1,138",21.02
    Puglia,1954051.81,19540.5181,4029053,206.1896711,"1,013",14.34
    Sardegna,2409945.3,24099.453,1639591,68.03436576,"1,364",15.55
    Sicilia,2583254.54,25832.5454,4999891,193.5500711,989,13.64
    Toscana,2298743.71,22987.4371,3729641,162.2469257,"1,252",20.64
P.A. Trento,620686.37,6206.8637,541098,87.17736141,"1,259",21.92
    Umbria,846422.34,8464.2234,882015,104.205071,"1,402",18.35
    Valle d'Aosta,326085.46,3260.8546,125666,38.5377502,"1,448",21.9
    Veneto,1834536.94,18345.3694,4905854,267.416474,"1,054",20.67
